email;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
mariah49@gmail.com;Male;44;White;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;<=50K
robertsluke@hamilton.com;Male;65;White;Married-civ-spouse;Assoc-voc;United-States;Private;Farming-fishing;<=50K
aaronlee@yahoo.com;Male;28;White;Married-civ-spouse;Assoc-acdm;United-States;Federal-gov;Adm-clerical;<=50K
evansjonathan@hotmail.com;Female;55;White;Widowed;Bachelors;United-States;Private;Adm-clerical;<=50K
crystalortega@perez.net;Female;49;White;Never-married;Bachelors;United-States;Local-gov;Prof-specialty;<=50K
wardcheryl@yahoo.com;Female;31;White;Separated;HS-grad;United-States;Private;Exec-managerial;<=50K
raymondvega@hotmail.com;Female;47;Black;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;>50K
tinahowell@berry-munoz.com;Male;45;White;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;>50K
popekatelyn@quinn.net;Female;35;Black;Never-married;HS-grad;United-States;Private;Other-service;<=50K
sheliadean@dawson.net;Male;34;Asian-Pac-Islander;Married-civ-spouse;Bachelors;South;Self-emp-not-inc;Sales;<=50K
kgeorge@marshall-cunningham.info;Male;49;Black;Widowed;HS-grad;United-States;Local-gov;Protective-serv;<=50K
jellis@lyons.org;Female;27;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
narcher@clay.org;Male;42;White;Married-civ-spouse;HS-grad;United-States;Private;Handlers-cleaners;<=50K
raychris@gibson.com;Male;64;White;Never-married;HS-grad;United-States;Self-emp-not-inc;Other-service;<=50K
kylepope@yahoo.com;Male;33;White;Married-civ-spouse;Some-college;United-States;Private;Sales;>50K
ywilliams@hotmail.com;Female;23;White;Never-married;Some-college;United-States;Private;Adm-clerical;<=50K
smithtaylor@hotmail.com;Male;45;White;Married-civ-spouse;Masters;United-States;Private;Exec-managerial;>50K
fowlerstanley@williams.com;Female;34;Black;Never-married;HS-grad;United-States;Private;Machine-op-inspct;<=50K
matthew74@gmail.com;Female;53;White;Divorced;HS-grad;Mexico;Private;Sales;<=50K
jsutton@miller-lopez.com;Male;22;White;Never-married;10th;United-States;Private;Craft-repair;<=50K
marc05@campbell.biz;Female;57;White;Separated;HS-grad;United-States;State-gov;Other-service;<=50K
finleyeric@davis.com;Male;23;Black;Never-married;7th-8th;United-States;Private;Craft-repair;<=50K
thomasfisher@gmail.com;Male;31;White;Never-married;11th;United-States;Private;Transport-moving;<=50K
sara37@yahoo.com;Male;23;White;Never-married;Bachelors;United-States;State-gov;Tech-support;<=50K
beasleysara@quinn-preston.com;Female;30;White;Separated;HS-grad;United-States;Private;Adm-clerical;<=50K
maria91@hotmail.com;Female;32;White;Separated;Bachelors;United-States;Local-gov;Prof-specialty;>50K
whitebrian@gibson-martin.com;Female;42;Black;Married-civ-spouse;Assoc-acdm;United-States;Private;Adm-clerical;>50K
nmcpherson@yahoo.com;Male;51;White;Married-civ-spouse;7th-8th;Cuba;Private;Transport-moving;<=50K
hannahwalker@hotmail.com;Male;59;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Sales;>50K
bradley43@wright-webb.org;Female;36;White;Never-married;Bachelors;United-States;Private;Exec-managerial;<=50K
fordkelsey@yahoo.com;Male;45;Black;Never-married;HS-grad;United-States;Private;Sales;<=50K
morsejoshua@hotmail.com;Male;35;White;Married-civ-spouse;Assoc-voc;Germany;Private;Sales;>50K
bporter@hotmail.com;Male;33;White;Married-civ-spouse;7th-8th;United-States;Private;Machine-op-inspct;<=50K
geraldwilliams@gmail.com;Female;43;White;Divorced;Assoc-voc;United-States;Private;Prof-specialty;<=50K
barry41@hotmail.com;Female;60;White;Married-civ-spouse;HS-grad;United-States;Private;Tech-support;>50K
dmitchell@woodward-fitzpatrick.com;Male;37;White;Married-civ-spouse;Bachelors;United-States;State-gov;Prof-specialty;>50K
yvetterodriguez@diaz-day.com;Female;35;White;Never-married;Some-college;United-States;Private;Tech-support;<=50K
pcole@gmail.com;Male;36;White;Married-civ-spouse;Some-college;United-States;Private;Adm-clerical;<=50K
frederickcox@yahoo.com;Male;38;White;Married-civ-spouse;Prof-school;United-States;Federal-gov;Prof-specialty;>50K
nfernandez@brown.com;Male;54;White;Married-civ-spouse;7th-8th;United-States;Private;Craft-repair;<=50K
arthurgarcia@gmail.com;Male;51;White;Married-civ-spouse;Assoc-voc;United-States;Private;Handlers-cleaners;>50K
mjohnson@stephens.info;Male;45;White;Married-civ-spouse;Assoc-acdm;United-States;Private;Craft-repair;>50K
danielsara@stout.org;Female;63;White;Divorced;Some-college;United-States;Federal-gov;Exec-managerial;<=50K
mortontiffany@hotmail.com;Male;51;White;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;>50K
msmith@gmail.com;Male;58;White;Divorced;Masters;United-States;Self-emp-not-inc;Sales;<=50K
richardsbrandy@yahoo.com;Female;64;White;Divorced;HS-grad;United-States;Local-gov;Adm-clerical;<=50K
jmills@yahoo.com;Male;20;White;Never-married;Some-college;United-States;Private;Handlers-cleaners;<=50K
lawsonmary@gmail.com;Male;44;Asian-Pac-Islander;Married-civ-spouse;Bachelors;Philippines;Federal-gov;Adm-clerical;>50K
castillomatthew@hotmail.com;Female;39;White;Divorced;Bachelors;United-States;Private;Exec-managerial;<=50K
brownmichelle@cunningham-young.com;Female;45;White;Never-married;Some-college;United-States;State-gov;Adm-clerical;<=50K
lewisjessica@gmail.com;Male;44;White;Married-civ-spouse;Doctorate;United-States;Private;Adm-clerical;>50K
lisa77@park-yang.org;Female;22;White;Never-married;Some-college;United-States;Federal-gov;Exec-managerial;<=50K
murraydonald@ramirez.com;Male;63;White;Married-civ-spouse;HS-grad;United-States;Self-emp-inc;Exec-managerial;>50K
joseph68@gmail.com;Male;26;Black;Separated;Assoc-voc;United-States;Private;Other-service;<=50K
butlerlynn@ryan-lang.org;Male;42;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Farming-fishing;<=50K
sean56@hill-barry.net;Female;20;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
dennis50@hotmail.com;Male;29;White;Married-civ-spouse;Masters;United-States;Private;Sales;>50K
david69@hotmail.com;Male;38;Asian-Pac-Islander;Never-married;Bachelors;Vietnam;Local-gov;Exec-managerial;<=50K
pacejim@weaver.info;Male;25;White;Never-married;HS-grad;United-States;Private;Transport-moving;<=50K
michelepalmer@scott.info;Male;27;White;Married-civ-spouse;Bachelors;United-States;Private;Craft-repair;<=50K
tonya84@taylor.com;Female;46;White;Divorced;Assoc-voc;United-States;Private;Adm-clerical;<=50K
gfrazier@stark.net;Male;31;White;Divorced;Some-college;United-States;Private;Craft-repair;<=50K
taylorli@fox.com;Male;24;White;Never-married;Assoc-voc;United-States;Private;Exec-managerial;<=50K
kellymassey@wang.com;Male;43;White;Married-civ-spouse;Some-college;United-States;Private;Sales;>50K
twebster@hotmail.com;Male;23;White;Never-married;12th;Mexico;Private;Machine-op-inspct;<=50K
jlewis@gmail.com;Female;32;Black;Never-married;HS-grad;United-States;Local-gov;Transport-moving;<=50K
douglas67@brown.biz;Male;44;White;Married-civ-spouse;HS-grad;Poland;Private;Craft-repair;<=50K
luisanderson@king.com;Male;40;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Sales;<=50K
hjohnson@jones.biz;Male;38;White;Divorced;HS-grad;United-States;Private;Craft-repair;<=50K
jordanjeremy@vargas-sullivan.com;Male;23;White;Never-married;Assoc-voc;United-States;Private;Machine-op-inspct;<=50K
simpsontimothy@hotmail.com;Female;19;White;Never-married;Some-college;United-States;Private;Sales;<=50K
ncurtis@sloan-byrd.com;Male;41;White;Married-civ-spouse;Some-college;United-States;Private;Sales;<=50K
gwilliams@weiss.com;Male;48;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
whall@hotmail.com;Male;23;White;Married-civ-spouse;Some-college;United-States;Private;Machine-op-inspct;<=50K
parker91@white-hall.com;Female;47;White;Widowed;Assoc-acdm;United-States;Private;Other-service;<=50K
carrtammy@sanders.com;Male;42;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
brenda75@peterson.com;Female;17;White;Never-married;10th;United-States;Private;Sales;<=50K
davisbecky@gmail.com;Female;29;White;Never-married;Prof-school;United-States;Local-gov;Prof-specialty;<=50K
renee00@mcclure.info;Female;21;White;Never-married;Some-college;United-States;State-gov;Prof-specialty;<=50K
chavezmichelle@morales.biz;Male;31;White;Married-civ-spouse;HS-grad;Mexico;Private;Other-service;>50K
hthomas@hotmail.com;Female;27;White;Never-married;Bachelors;United-States;Local-gov;Prof-specialty;<=50K
cbentley@hotmail.com;Male;29;White;Never-married;Doctorate;Canada;Private;Prof-specialty;<=50K
christophervazquez@hale.net;Female;23;White;Never-married;Bachelors;United-States;Private;Sales;<=50K
deanna63@gmail.com;Male;41;Asian-Pac-Islander;Married-civ-spouse;Masters;Taiwan;Private;Prof-specialty;>50K
normanlee@black.com;Male;46;White;Married-civ-spouse;Bachelors;United-States;Local-gov;Prof-specialty;>50K
hollychapman@yahoo.com;Female;34;Black;Married-civ-spouse;Some-college;Haiti;Private;Protective-serv;<=50K
maria75@hotmail.com;Male;42;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Craft-repair;<=50K
carlosmckee@odom-poole.biz;Female;18;White;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
littleamanda@gmail.com;Male;46;White;Divorced;HS-grad;United-States;Private;Craft-repair;<=50K
nmejia@yahoo.com;Male;52;White;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;>50K
sbates@quinn-sloan.com;Female;56;White;Divorced;HS-grad;United-States;Private;Craft-repair;<=50K
gillespiechristina@smith.com;Male;21;White;Never-married;Assoc-voc;United-States;Private;Machine-op-inspct;<=50K
laura33@thompson.biz;Male;22;White;Never-married;HS-grad;United-States;Self-emp-not-inc;Craft-repair;<=50K
jeremy27@yahoo.com;Female;31;White;Divorced;Bachelors;United-States;Private;Adm-clerical;<=50K
paulchristian@yahoo.com;Male;41;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Other-service;<=50K
wmayo@hotmail.com;Female;25;White;Separated;Some-college;United-States;Private;Adm-clerical;<=50K
dwhite@munoz.com;Male;43;White;Divorced;Bachelors;United-States;Self-emp-not-inc;Exec-managerial;<=50K
lopezgregory@camacho.com;Female;45;White;Separated;HS-grad;United-States;Private;Sales;<=50K
jessica09@schultz-elliott.org;Male;26;White;Divorced;Some-college;United-States;Private;Tech-support;<=50K
jason54@hotmail.com;Male;90;Asian-Pac-Islander;Never-married;Some-college;United-States;Private;Other-service;<=50K
chadarroyo@riley.com;Male;45;White;Married-civ-spouse;Bachelors;United-States;Private;Sales;>50K
richardmontgomery@hotmail.com;Female;30;White;Married-civ-spouse;Bachelors;United-States;Private;Other-service;>50K
sharon57@lee.com;Male;42;White;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;<=50K
dana91@hodge.net;Male;20;White;Never-married;Some-college;United-States;Private;Handlers-cleaners;<=50K
aprilfuller@gmail.com;Male;53;White;Married-civ-spouse;Bachelors;United-States;Private;Prof-specialty;>50K
conleyelizabeth@shaffer.com;Female;64;White;Widowed;HS-grad;United-States;State-gov;Adm-clerical;<=50K
larsonmichael@gmail.com;Male;56;White;Widowed;7th-8th;United-States;Private;Transport-moving;<=50K
gabriel89@gmail.com;Male;42;White;Married-spouse-absent;Some-college;United-States;Private;Prof-specialty;>50K
charlesroy@hotmail.com;Female;26;White;Married-civ-spouse;Bachelors;United-States;Private;Sales;>50K
joshua47@hotmail.com;Female;31;Amer-Indian-Eskimo;Never-married;Assoc-acdm;United-States;Local-gov;Adm-clerical;<=50K
reyestammy@hotmail.com;Female;40;White;Married-civ-spouse;Bachelors;United-States;Private;Adm-clerical;<=50K
fweaver@gaines.com;Male;58;White;Widowed;Some-college;United-States;Private;Craft-repair;<=50K
jenkinsstefanie@estrada.com;Male;41;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;<=50K
gordon27@richmond.net;Male;58;White;Never-married;HS-grad;United-States;Self-emp-inc;Sales;<=50K
jenniferbrown@sanchez-cortez.info;Male;62;White;Married-civ-spouse;Masters;United-States;State-gov;Prof-specialty;>50K
kimberlyjensen@hotmail.com;Male;65;White;Married-civ-spouse;Bachelors;United-States;Self-emp-inc;Sales;>50K
humphreyjoyce@bell.org;Male;40;White;Never-married;Some-college;United-States;Private;Craft-repair;<=50K
wsmith@hotmail.com;Male;45;White;Married-civ-spouse;Some-college;United-States;Local-gov;Protective-serv;>50K
jennifershepard@yahoo.com;Male;22;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
alejandrodavis@cortez.org;Male;63;White;Married-civ-spouse;Masters;United-States;Federal-gov;Exec-managerial;>50K
gonzalesjeanette@kaiser-anderson.org;Male;39;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
hriley@young-wade.net;Male;37;White;Widowed;Some-college;United-States;Private;Craft-repair;<=50K
dmadden@yahoo.com;Male;56;White;Married-civ-spouse;11th;United-States;Private;Farming-fishing;<=50K
ghuerta@patrick-wolf.com;Male;32;White;Divorced;Some-college;United-States;Private;Sales;<=50K
eyoung@yahoo.com;Female;53;Asian-Pac-Islander;Married-civ-spouse;Some-college;Philippines;Federal-gov;Exec-managerial;>50K
amiller@gmail.com;Male;32;White;Divorced;Assoc-voc;United-States;Private;Prof-specialty;<=50K
raustin@gmail.com;Male;23;White;Married-civ-spouse;11th;United-States;Self-emp-not-inc;Transport-moving;>50K
sherylbrown@esparza.org;Male;35;White;Separated;11th;United-States;Private;Transport-moving;<=50K
davidsanders@hotmail.com;Male;51;White;Married-civ-spouse;Some-college;United-States;Private;Exec-managerial;>50K
tyler49@yahoo.com;Female;19;White;Never-married;Some-college;United-States;Private;Adm-clerical;<=50K
paulapena@harper.info;Male;41;White;Married-spouse-absent;11th;Guatemala;Private;Machine-op-inspct;<=50K
james43@gmail.com;Male;22;White;Never-married;10th;United-States;Private;Transport-moving;<=50K
bmayo@gibson.com;Female;23;White;Never-married;HS-grad;United-States;Private;Tech-support;<=50K
davidbeck@cox.com;Male;36;Asian-Pac-Islander;Married-civ-spouse;Masters;Taiwan;Private;Exec-managerial;>50K
dianacardenas@smith-foster.com;Male;45;White;Married-civ-spouse;Assoc-voc;Canada;Private;Craft-repair;<=50K
englishmathew@gmail.com;Male;23;White;Never-married;HS-grad;Mexico;Self-emp-not-inc;Farming-fishing;<=50K
baxteralex@glenn-king.biz;Female;21;Black;Never-married;11th;United-States;Private;Other-service;<=50K
xheath@yahoo.com;Male;44;White;Married-civ-spouse;Masters;United-States;Private;Exec-managerial;>50K
jrichardson@gmail.com;Male;29;White;Married-civ-spouse;Bachelors;United-States;Private;Sales;>50K
sherrybond@schneider-simmons.com;Male;36;White;Married-civ-spouse;Assoc-voc;United-States;Self-emp-not-inc;Tech-support;<=50K
wharrison@hensley-crawford.info;Male;18;White;Never-married;9th;United-States;Private;Handlers-cleaners;<=50K
anthonythompson@cox.info;Male;62;White;Married-civ-spouse;12th;United-States;Self-emp-not-inc;Craft-repair;>50K
alejandrarios@payne.com;Male;25;Black;Never-married;Some-college;United-States;Federal-gov;Exec-managerial;<=50K
sanderslisa@yahoo.com;Female;34;White;Divorced;Assoc-acdm;United-States;Private;Exec-managerial;<=50K
vanessa71@hotmail.com;Female;31;White;Never-married;Bachelors;United-States;Private;Exec-managerial;>50K
howardronnie@church.com;Male;37;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
chelseathomas@gmail.com;Male;33;White;Married-civ-spouse;Bachelors;England;Private;Farming-fishing;<=50K
toddbrown@edwards-hubbard.com;Male;28;White;Married-civ-spouse;Assoc-acdm;United-States;Private;Sales;<=50K
abest@gmail.com;Male;47;White;Married-civ-spouse;HS-grad;United-States;Private;Other-service;>50K
veronicamercer@gmail.com;Male;34;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;<=50K
yesenia10@collier.com;Male;26;White;Married-civ-spouse;Prof-school;United-States;Private;Prof-specialty;>50K
schmittdonald@yahoo.com;Male;36;White;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;>50K
scottcaldwell@santana.com;Male;28;White;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
castanedacory@gmail.com;Male;22;Black;Never-married;HS-grad;United-States;Private;Transport-moving;<=50K
steven82@bailey-hatfield.com;Female;47;Black;Separated;Some-college;United-States;Private;Other-service;<=50K
eric69@martin-byrd.com;Male;33;White;Never-married;Assoc-voc;United-States;Private;Adm-clerical;<=50K
donaldrobinson@williams.com;Female;34;White;Separated;Masters;United-States;Self-emp-inc;Prof-specialty;>50K
tylerbishop@gmail.com;Male;25;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
christine22@hotmail.com;Male;37;White;Married-civ-spouse;9th;Mexico;Private;Handlers-cleaners;<=50K
thomas64@chambers.com;Male;36;White;Married-civ-spouse;HS-grad;United-States;State-gov;Protective-serv;<=50K
donna01@melendez.com;Male;57;White;Married-civ-spouse;Some-college;Poland;Private;Craft-repair;<=50K
millervictoria@walker-allen.org;Male;55;White;Never-married;Doctorate;England;Private;Prof-specialty;<=50K
michaelbuchanan@johnson.com;Female;20;Black;Divorced;HS-grad;United-States;Private;Sales;<=50K
dickersondiana@flores-long.com;Female;43;Black;Never-married;HS-grad;United-States;Private;Sales;<=50K
bharris@hotmail.com;Male;54;White;Married-civ-spouse;HS-grad;England;Private;Machine-op-inspct;>50K
lewiseric@boyd.biz;Female;25;White;Separated;Some-college;United-States;Private;Adm-clerical;<=50K
masonsmith@hotmail.com;Male;42;White;Divorced;Some-college;United-States;Private;Exec-managerial;<=50K
david83@yahoo.com;Male;17;White;Never-married;11th;United-States;Private;Craft-repair;<=50K
campbelljulie@yahoo.com;Female;63;Amer-Indian-Eskimo;Married-spouse-absent;7th-8th;United-States;Private;Other-service;<=50K
vcombs@gmail.com;Female;19;White;Never-married;Some-college;United-States;Private;Exec-managerial;<=50K
jesse54@yahoo.com;Male;56;White;Married-civ-spouse;Bachelors;United-States;Self-emp-inc;Sales;>50K
martinmoore@yahoo.com;Male;33;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Sales;>50K
cooperkenneth@dunn.net;Male;37;White;Married-civ-spouse;Bachelors;United-States;Private;Farming-fishing;<=50K
dennisvalerie@yahoo.com;Male;27;White;Married-civ-spouse;7th-8th;United-States;Private;Transport-moving;<=50K
joshuapetersen@harmon.net;Male;36;White;Married-civ-spouse;Bachelors;United-States;Local-gov;Adm-clerical;<=50K
davidhanson@taylor-wagner.com;Male;30;White;Married-civ-spouse;HS-grad;Canada;Self-emp-inc;Exec-managerial;>50K
sthompson@vaughn-hicks.com;Male;22;White;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
john81@castro-martin.biz;Male;35;White;Married-civ-spouse;Some-college;United-States;Private;Handlers-cleaners;<=50K
tanyadouglas@hotmail.com;Male;20;White;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
sherrykelly@gmail.com;Female;18;White;Never-married;Some-college;United-States;Private;Sales;<=50K
corey74@valdez.org;Male;25;White;Never-married;12th;United-States;Private;Machine-op-inspct;<=50K
lavila@yahoo.com;Female;53;White;Never-married;Masters;United-States;Private;Prof-specialty;>50K
christopher34@gmail.com;Female;19;White;Never-married;HS-grad;United-States;Private;Sales;<=50K
candicethompson@yahoo.com;Male;34;White;Divorced;HS-grad;United-States;Private;Machine-op-inspct;<=50K
david69@phillips.com;Female;32;Black;Never-married;Some-college;United-States;State-gov;Adm-clerical;<=50K
timothy85@gmail.com;Male;20;Amer-Indian-Eskimo;Never-married;Some-college;United-States;Private;Machine-op-inspct;<=50K
hturner@hotmail.com;Male;70;White;Married-civ-spouse;7th-8th;United-States;Private;Other-service;<=50K
davidsanford@dixon.com;Male;57;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
diane42@hotmail.com;Male;54;White;Married-civ-spouse;Some-college;United-States;Private;Sales;<=50K
rodriguezkatelyn@brown.com;Male;34;White;Married-civ-spouse;Assoc-voc;United-States;Private;Machine-op-inspct;<=50K
chad08@yahoo.com;Male;48;White;Married-civ-spouse;Some-college;United-States;Private;Exec-managerial;>50K
georgebrianna@hotmail.com;Female;42;White;Married-civ-spouse;11th;United-States;Private;Other-service;<=50K
pennymoore@hale.info;Male;45;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
barbara67@sandoval.com;Male;27;White;Never-married;Some-college;United-States;Private;Other-service;<=50K
cameroncheryl@walker-olson.com;Male;51;White;Married-civ-spouse;10th;Mexico;Private;Other-service;<=50K
charding@rojas-li.com;Female;36;White;Divorced;Some-college;United-States;Local-gov;Adm-clerical;<=50K
jacqueline96@hotmail.com;Male;33;Asian-Pac-Islander;Never-married;Some-college;Philippines;Private;Exec-managerial;<=50K
jhill@yahoo.com;Male;50;White;Never-married;Some-college;United-States;Private;Farming-fishing;<=50K
hvalenzuela@johnson-woodard.biz;Male;44;White;Divorced;Bachelors;United-States;Private;Exec-managerial;>50K
gpennington@gmail.com;Male;39;White;Married-civ-spouse;Masters;United-States;Local-gov;Prof-specialty;>50K
bradleyporter@thomas.com;Male;55;White;Married-civ-spouse;9th;United-States;Self-emp-not-inc;Farming-fishing;<=50K
parkermary@hotmail.com;Female;24;White;Never-married;Some-college;United-States;Private;Adm-clerical;<=50K
ryanpetersen@mcdowell-ramos.org;Male;35;White;Never-married;HS-grad;United-States;Private;Sales;<=50K
grayrobert@maddox-ford.com;Male;32;White;Married-civ-spouse;12th;United-States;Self-emp-not-inc;Craft-repair;<=50K
brittanydavidson@williamson-wallace.org;Female;68;White;Widowed;HS-grad;United-States;Private;Adm-clerical;<=50K
dprice@gmail.com;Male;29;White;Married-civ-spouse;11th;United-States;Private;Transport-moving;<=50K
tricia79@lee.com;Male;24;White;Never-married;Bachelors;United-States;Self-emp-not-inc;Sales;<=50K
arivera@gmail.com;Male;61;White;Married-civ-spouse;9th;United-States;Private;Machine-op-inspct;<=50K
crobinson@watson.info;Male;34;White;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;>50K
eric29@hotmail.com;Male;55;White;Married-civ-spouse;Prof-school;Greece;Self-emp-inc;Prof-specialty;>50K
zacharythompson@henry-williams.com;Female;41;White;Never-married;HS-grad;United-States;Private;Sales;<=50K
christopherspencer@yahoo.com;Male;36;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Farming-fishing;<=50K
matthew02@holmes-brock.com;Male;60;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;>50K
cruzmichael@hotmail.com;Male;61;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Craft-repair;>50K
vgutierrez@hogan.org;Male;35;Asian-Pac-Islander;Married-civ-spouse;Prof-school;China;Private;Sales;<=50K
alexandergreen@stanton.com;Male;42;White;Married-civ-spouse;Bachelors;United-States;State-gov;Exec-managerial;>50K
christopher67@ross-cruz.net;Male;26;White;Never-married;Bachelors;United-States;Private;Tech-support;<=50K
kyle79@hotmail.com;Female;44;Black;Never-married;Some-college;United-States;Local-gov;Other-service;<=50K
kenneth96@banks.com;Male;31;White;Never-married;Masters;United-States;State-gov;Adm-clerical;<=50K
raymond68@johnson-brooks.com;Male;39;Black;Never-married;HS-grad;United-States;State-gov;Other-service;<=50K
denise63@gmail.com;Female;20;White;Never-married;Some-college;United-States;Private;Tech-support;<=50K
spencermartinez@gmail.com;Male;32;White;Married-civ-spouse;Some-college;United-States;Self-emp-inc;Craft-repair;<=50K
jessicasmith@gmail.com;Male;32;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Sales;<=50K
alvarezkristin@valentine.com;Male;61;Black;Married-civ-spouse;9th;Trinadad&Tobago;Private;Machine-op-inspct;<=50K
jacobpatterson@peters-moore.info;Female;54;White;Divorced;Some-college;United-States;Local-gov;Adm-clerical;<=50K
ryancampos@gmail.com;Male;23;White;Never-married;Assoc-acdm;United-States;Private;Craft-repair;<=50K
wendy79@fuller.com;Male;19;White;Never-married;HS-grad;United-States;Private;Sales;<=50K
tyler01@hotmail.com;Male;31;Amer-Indian-Eskimo;Married-civ-spouse;Some-college;United-States;Private;Prof-specialty;<=50K
michael19@clements.biz;Male;35;White;Married-civ-spouse;5th-6th;Mexico;Private;Handlers-cleaners;<=50K
donnaevans@oliver.info;Female;29;White;Divorced;HS-grad;United-States;Private;Other-service;<=50K
sarahcaldwell@yahoo.com;Female;29;Black;Never-married;HS-grad;United-States;Local-gov;Protective-serv;<=50K
lisa30@yahoo.com;Female;25;White;Separated;10th;United-States;Private;Other-service;<=50K
gardnermichael@hotmail.com;Female;46;White;Divorced;Bachelors;United-States;Private;Sales;<=50K
williamslance@parker-todd.biz;Female;35;White;Never-married;Assoc-voc;United-States;Private;Other-service;<=50K
joshuacosta@brady.info;Male;20;Other;Never-married;10th;United-States;Private;Sales;<=50K
hburke@bradley-roman.com;Female;24;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Adm-clerical;<=50K
lbecker@kelly.info;Female;48;White;Divorced;HS-grad;United-States;Private;Adm-clerical;<=50K
lsmith@hotmail.com;Female;37;White;Divorced;HS-grad;United-States;Private;Machine-op-inspct;<=50K
scottwright@hotmail.com;Male;60;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Sales;<=50K
fmiller@gmail.com;Male;39;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
iwyatt@gmail.com;Female;29;White;Separated;Some-college;United-States;Local-gov;Adm-clerical;<=50K
smithcarl@gmail.com;Male;31;White;Divorced;Assoc-voc;United-States;Self-emp-not-inc;Craft-repair;<=50K
sullivanmichael@gmail.com;Male;38;White;Married-civ-spouse;Assoc-voc;United-States;Private;Craft-repair;>50K
denisejones@kim.com;Male;26;White;Never-married;Assoc-acdm;United-States;Self-emp-not-inc;Craft-repair;<=50K
kimberlydowns@hotmail.com;Male;64;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
maurice36@james-herrera.com;Male;46;Black;Divorced;Assoc-voc;United-States;Private;Protective-serv;<=50K
adamsphilip@parker.com;Male;39;White;Married-civ-spouse;HS-grad;United-States;Private;Sales;>50K
steveklein@henry.info;Female;48;White;Divorced;HS-grad;United-States;Private;Machine-op-inspct;<=50K
carlsonkimberly@luna.org;Female;46;White;Divorced;HS-grad;United-States;Private;Sales;<=50K
scotterika@yahoo.com;Male;42;White;Divorced;Bachelors;United-States;Private;Sales;<=50K
ohoffman@yahoo.com;Female;39;Black;Married-civ-spouse;HS-grad;Dominican-Republic;Self-emp-not-inc;Sales;>50K
josephhurst@sharp-rodgers.net;Male;50;White;Married-civ-spouse;Masters;United-States;Federal-gov;Tech-support;>50K
careychristian@yahoo.com;Female;24;White;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
john52@hotmail.com;Female;30;White;Married-civ-spouse;Assoc-voc;Canada;Private;Tech-support;>50K
wsantiago@yahoo.com;Male;39;White;Married-civ-spouse;Bachelors;United-States;Self-emp-inc;Sales;>50K
heidiwilson@yahoo.com;Male;29;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Craft-repair;<=50K
vkeller@hotmail.com;Female;23;White;Never-married;11th;United-States;Private;Transport-moving;<=50K
thompsonjasmine@browning-johnson.com;Male;32;White;Separated;10th;United-States;Private;Craft-repair;<=50K
tiffanyvincent@yahoo.com;Male;69;White;Married-civ-spouse;Bachelors;United-States;Self-emp-inc;Machine-op-inspct;<=50K
john36@hotmail.com;Male;55;White;Separated;HS-grad;United-States;Private;Handlers-cleaners;<=50K
